markerID, coordinateX, coordinateY, coordinateZ, orientationX, orientationY, orientationZ
0, -0.182535, -0.064148, 1.728662, 2.178160, -2.043037, -0.374969
1, -0.165782, -0.268829, 1.697066, 2.149517, -1.963062, -0.340924
10, 0.206515, -0.026349, 1.540494, -2.154933, 2.056643, 0.582724
11, 0.224592, -0.227746, 1.540382, -1.983820, 1.915649, 0.544192
12, 0.302951, 0.080334, 1.532637, -2.585735, 2.307614, -0.201815
13, 0.318445, -0.120665, 1.536891, -2.108996, 2.031319, 0.308243
14, 0.329952, -0.320513, 1.505839, 2.525394, -2.435945, -0.363213
15, 0.409551, -0.010995, 1.506855, 2.210436, -2.126604, -0.631488
16, 0.409621, -0.205647, 1.446660, -2.718549, 2.367808, 0.303216
2, -0.089906, 0.047378, 1.714385, -2.262285, 2.001531, 0.269916
3, -0.075159, -0.156684, 1.663961, 2.144531, -1.974367, -0.460270
4, -0.061399, -0.370402, 1.692497, 2.194429, -2.061809, -0.399854
5, 0.017165, -0.046049, 1.654746, -2.206820, 2.046812, 0.595589
6, 0.033737, -0.256119, 1.668629, -2.437961, 2.256118, 0.135675
7, 0.109583, 0.062560, 1.619058, -2.512751, 2.262238, 0.539510
8, 0.122178, -0.138178, 1.592176, -2.118347, 2.002400, 0.043987
9, 0.135188, -0.337949, 1.566976, 2.541028, -2.477565, -0.492731
